"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"72",12,24,23,10,58,25,18,15,55,10,20,49,9,14,12,19,20,15,52,35
"73",19,19,155,16,28,24,18,25,26,24,17,29,104,8,11,14,17,45,169,93
"74",12,23,15,21,337,13,21,39,23,19,322,12,61,273,13,8,9,17,24,39
"75",33,33,9,31,17,16,136,9,32,20,20,19,17,97,152,18,8,132,23,23
"76",163,153,17,159,11,10,25,12,175,21,7,10,10,15,18,10,17,12,7,8
"77",11,31,20,24,11,304,14,25,15,338,15,13,11,315,20,20,15,26,13,42
"78",14,50,177,53,48,27,21,33,12,15,17,17,64,49,15,63,50,27,12,64
"79",55,14,41,21,10,30,23,51,27,11,27,35,16,16,47,9,12,41,12,24
"80",9,90,10,81,10,41,98,45,40,13,19,17,15,11,10,18,37,10,30,26
"81",11,24,73,10,30,19,19,48,80,9,11,18,13,17,68,22,12,45,77,16
"82",9,17,241,88,10,8,12,15,28,17,17,12,15,298,9,15,18,26,13,17
"83",45,12,186,35,232,27,22,217,86,12,10,66,172,11,24,16,11,24,24,15
"84",22,30,34,17,49,14,12,15,39,38,10,14,13,11,13,13,11,13,38,50
"85",15,12,21,68,51,15,10,35,10,18,15,10,13,13,18,25,13,74,62,39
"86",68,NA,21,13,NA,NA,73,NA,NA,NA,13,NA,31,181,14,NA,NA,20,10,13
"87",33,13,11,45,8,13,8,25,16,21,10,22,15,17,51,68,29,24,10,69
"88",20,NA,22,15,NA,NA,NA,10,36,NA,17,13,20,NA,14,33,NA,11,NA,NA
"89",25,16,NA,13,18,53,14,22,14,NA,22,NA,12,35,NA,NA,19,9,338,34
"90",47,201,54,14,21,10,8,197,10,14,32,31,10,12,195,32,14,10,18,26
"91",10,399,9,12,10,8,42,24,13,23,18,26,21,376,12,26,NA,11,491,18
"92",18,44,11,14,20,17,23,20,10,43,116,30,112,10,128,145,17,15,117,23
"93",11,17,16,33,25,11,16,25,13,11,14,17,16,33,10,86,12,14,75,86
"94",9,15,22,79,20,8,12,14,13,105,25,17,12,11,17,18,11,13,112,94
"95",9,17,89,35,14,40,9,25,13,92,19,12,20,17,18,19,18,414,12,13
"96",17,26,24,30,14,11,123,11,12,117,15,14,16,138,22,103,50,22,17,57
"97",33,14,14,NA,16,154,13,16,15,316,30,NA,NA,17,15,363,17,7,11,11
"98",14,21,18,14,95,13,26,12,29,12,89,31,28,8,11,10,17,10,98,27
"99",22,165,26,11,15,11,14,52,157,275,14,15,35,12,16,24,22,29,18,15
"100",108,13,17,15,22,19,183,19,142,12,23,18,14,131,35,16,16,11,11,12
"101",12,24,10,NA,21,17,233,14,18,64,16,73,18,143,41,15,38,60,13,16
"102",151,28,13,91,42,14,113,172,40,12,13,171,16,21,15,10,23,25,26,13
"103",270,10,35,13,32,343,16,19,36,16,19,297,8,49,10,14,11,13,13,16
"104",52,NA,28,19,14,22,18,33,16,21,8,15,NA,18,24,17,23,NA,13,NA
"105",73,72,17,11,32,13,59,7,71,17,13,9,22,11,12,11,9,64,11,10
"106",21,22,110,10,20,14,120,74,62,16,21,22,25,17,124,52,10,14,20,17
"107",15,14,12,8,13,76,14,7,42,11,13,138,13,10,13,11,115,16,15,10
"108",16,64,25,13,14,11,25,8,24,16,65,18,239,40,26,17,16,57,36,10
"109",61,14,32,111,11,20,9,27,59,12,22,18,9,31,18,17,30,14,40,136
"110",196,17,187,200,18,37,10,29,56,19,15,45,62,47,8,42,55,187,23,125
