"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"125",15,83,11,9,12,8,10,9,9,9,92,13,12,10,7,10,14,13,482,15
"126",21,14,18,26,11,69,31,11,43,10,19,91,12,89,19,17,45,7,16,17
"127",15,11,15,22,9,17,19,13,9,17,11,13,12,11,13,44,10,45,24,10
"128",10,13,58,9,18,74,9,14,12,12,9,28,11,13,17,79,12,15,7,17
"129",44,24,13,9,11,26,21,10,19,9,25,16,13,39,9,13,13,26,7,13
"130",43,10,17,23,16,24,19,16,16,14,42,10,20,20,22,13,20,16,17,15
"131",9,22,8,10,13,9,9,10,9,12,11,9,10,10,10,10,10,10,23,12
"132",25,15,14,11,26,19,24,18,48,10,15,9,12,13,16,13,15,14,10,45
"133",10,13,13,14,41,11,12,9,79,22,11,21,23,13,78,35,11,23,10,14
"134",12,15,13,34,7,12,7,17,10,15,11,11,13,26,14,11,9,11,11,9
"135",24,56,78,30,69,11,15,32,12,13,11,14,26,12,14,56,9,12,35,36
"136",12,30,8,11,10,10,13,9,32,19,9,14,16,12,10,10,10,14,9,11
"137",11,10,11,13,12,12,11,12,11,13,14,11,11,12,13,31,12,30,13,12
"138",7,18,9,19,13,9,14,14,483,9,11,73,24,10,12,17,17,13,10,26
"139",11,13,17,16,35,14,10,12,22,12,18,15,13,16,15,15,42,15,16,14
"140",10,27,14,9,11,8,10,11,10,16,10,14,13,11,9,10,26,11,14,11
"141",19,18,164,163,10,19,77,11,11,9,13,11,19,22,11,24,77,13,20,13
"142",10,68,11,13,9,13,8,10,15,13,11,13,64,71,12,11,10,13,13,13
"143",13,13,12,9,19,42,8,12,12,9,12,9,14,22,8,12,12,10,9,34
"144",7,8,17,7,81,15,9,11,37,79,8,17,11,9,8,11,13,16,10,12
"145",11,11,12,12,29,9,31,44,7,15,19,21,16,28,53,20,11,15,12,21
"146",16,13,31,12,10,24,27,9,10,12,12,9,7,16,16,14,7,10,17,8
"147",10,14,18,21,10,11,14,10,8,338,12,19,10,14,10,409,11,14,15,18
"148",43,9,12,67,41,9,21,9,10,17,59,18,10,35,9,17,10,28,11,14
"149",7,14,14,6,9,9,14,8,9,10,9,11,13,11,9,10,21,10,23,12
"150",15,13,12,14,14,12,16,173,13,10,13,14,12,179,15,14,156,12,14,14
"151",13,6,7,8,10,15,63,8,10,18,24,19,16,63,10,13,7,12,10,9
"152",14,13,76,18,14,58,14,15,11,11,13,10,11,29,14,8,8,75,10,17
"153",11,9,19,10,20,10,24,11,10,10,13,12,13,19,10,9,12,10,9,10
"154",16,11,87,13,12,12,57,12,10,20,38,15,21,13,9,11,10,87,11,12
"155",51,12,77,10,9,13,10,8,12,10,15,14,12,86,12,10,15,15,47,11
"156",15,9,18,17,15,21,28,12,10,18,21,15,11,28,12,14,12,15,15,20
"157",15,14,13,16,14,15,15,13,16,56,11,16,11,53,15,11,16,14,11,17
"158",18,14,17,10,16,26,12,13,26,151,12,13,11,27,27,17,12,13,161,12
"159",16,8,419,15,8,15,12,22,10,15,16,8,14,33,11,8,11,351,9,13
"160",10,10,39,11,52,12,10,122,115,32,22,17,15,15,10,12,12,10,8,11
"161",17,11,40,15,37,11,17,14,16,12,15,12,9,17,13,15,13,9,19,13
"162",8,8,11,107,21,11,27,19,178,12,11,14,10,28,16,11,12,9,23,9
"163",10,33,11,10,10,13,10,11,11,9,10,32,10,11,11,12,12,13,12,14
"164",14,13,12,11,8,9,12,7,9,12,12,11,9,14,11,7,11,35,9,28
"165",9,86,105,10,16,105,19,9,10,18,11,11,9,19,54,14,17,18,12,78
"166",18,13,14,44,10,14,10,12,12,12,18,10,9,13,16,15,14,14,12,42
"167",22,11,12,12,15,27,12,17,15,8,16,17,14,18,16,10,8,10,28,11
"168",10,15,11,15,17,58,15,12,25,17,12,15,10,17,54,10,14,15,12,13
"169",11,33,19,12,17,19,14,14,12,10,19,11,12,13,11,10,16,18,12,34
"170",11,30,72,13,9,14,12,12,10,56,12,15,8,9,9,11,19,9,72,9
"171",39,17,92,11,28,63,13,27,18,11,9,253,24,11,10,9,10,14,54,27
"172",NA,16,8,9,NA,14,13,18,17,10,15,12,22,21,17,43,9,11,45,10
"173",13,9,14,11,14,13,12,25,10,12,11,26,9,13,12,9,14,14,13,11
"174",10,17,11,11,10,35,22,18,12,14,15,21,12,11,10,15,39,16,9,12
"175",12,13,50,27,39,10,11,13,29,18,21,14,18,11,17,9,12,47,40,16
"176",11,8,9,11,17,11,12,10,NA,23,11,12,10,10,8,NA,16,21,9,19
"177",12,12,17,127,12,11,15,14,11,13,12,12,18,131,13,14,50,35,11,12
"178",39,27,12,21,17,27,11,19,31,10,22,11,19,12,34,9,10,9,20,28
"179",14,80,14,65,19,19,10,9,15,24,11,12,79,13,17,16,10,17,18,17
"180",10,78,17,68,14,8,13,12,10,15,11,11,9,10,10,10,8,9,11,24
"181",15,13,9,11,30,39,13,9,16,17,22,8,11,16,20,15,8,10,13,9
"182",11,15,19,33,17,31,14,16,12,19,15,10,15,15,12,18,8,8,17,14
"183",13,11,22,17,38,10,11,19,20,25,21,35,12,8,9,24,15,13,14,12
"184",11,92,11,44,11,53,9,95,14,26,18,10,13,11,11,16,10,30,42,11
"185",12,11,15,65,20,18,15,19,14,8,19,14,15,32,8,12,39,26,28,9
"186",25,13,19,71,14,11,165,19,20,24,10,17,21,162,13,15,13,19,13,23
"187",13,10,12,16,14,11,203,8,32,9,208,15,15,20,11,9,42,14,10,11
"188",12,18,13,12,15,11,89,10,21,9,12,15,9,11,12,85,8,12,9,12
"189",60,10,14,12,58,12,12,11,8,13,11,13,13,13,12,9,9,12,9,10
"190",12,26,20,20,14,19,20,19,102,17,113,67,10,9,13,14,16,19,115,17
"191",8,42,10,14,34,28,10,12,15,27,12,12,44,13,23,15,21,15,10,9
"192",11,10,11,10,9,11,12,10,11,12,11,12,36,10,13,15,9,35,13,10
"193",9,13,11,18,11,11,279,14,19,18,14,10,13,192,12,267,33,13,22,16
"194",15,9,11,12,10,17,13,13,9,13,33,13,11,13,15,11,30,17,11,15
"195",17,14,47,9,10,11,73,8,10,8,12,12,11,10,9,22,35,16,66,14
"196",16,15,16,15,15,16,12,12,25,11,16,8,11,7,15,22,15,12,16,12
"197",21,12,12,12,15,20,11,17,18,19,12,20,34,19,17,10,21,21,34,14
"198",26,53,14,24,8,29,17,13,15,10,10,13,38,9,24,9,23,47,10,13
"199",15,10,15,11,31,15,17,21,44,13,14,13,14,21,48,10,10,28,19,17
"200",17,14,16,15,95,12,14,19,340,12,29,21,18,15,14,32,10,14,19,23
"201",15,26,21,10,24,41,21,22,16,11,22,12,44,9,13,10,64,16,47,60
"202",11,12,13,17,14,11,12,11,67,15,9,11,10,11,55,13,13,71,8,11
"203",17,26,26,18,21,17,32,21,16,14,12,38,12,26,39,17,15,19,13,16
"204",14,12,18,18,19,16,35,11,22,11,12,36,10,14,13,13,16,19,15,12
"205",12,17,10,12,11,14,10,13,38,39,18,26,20,15,19,20,13,12,19,12
"206",24,8,9,15,9,38,21,11,10,10,10,13,15,24,8,11,11,15,35,13
"207",56,16,11,17,10,44,8,17,15,12,7,13,17,7,17,21,10,24,15,9
"208",30,13,22,10,8,8,8,22,266,10,27,230,11,10,13,262,19,17,13,19
"209",17,10,14,21,12,7,15,34,10,10,12,19,18,13,17,21,12,13,15,32
"210",13,11,NA,42,24,21,NA,15,12,15,17,12,69,26,NA,65,12,19,29,11
"211",21,11,11,15,15,19,16,14,54,12,53,17,13,16,15,37,16,17,13,12
"212",13,14,13,13,11,9,12,12,8,10,10,12,7,13,10,12,7,30,9,30
"213",12,8,10,10,15,13,12,9,9,9,9,11,10,34,7,16,8,9,34,15
"214",7,18,256,12,18,14,8,18,13,24,9,10,12,9,16,14,403,8,19,15
"215",50,11,13,8,13,11,17,14,11,11,13,9,8,6,7,14,25,28,52,10
"216",13,11,15,11,10,14,46,16,7,18,21,12,11,38,8,9,14,16,9,9
"217",31,10,8,14,10,11,9,11,13,10,12,12,10,35,8,10,12,12,11,8
"218",12,9,13,12,15,10,12,14,18,14,20,60,8,13,18,82,84,12,20,11
"219",23,21,9,14,12,15,26,8,17,441,12,22,17,13,17,NA,20,23,10,16
"220",14,12,16,99,17,11,47,10,8,16,9,13,15,14,92,17,14,9,13,12
"221",25,14,9,8,11,14,12,15,8,13,9,12,14,13,15,29,9,10,9,14
"222",12,16,15,17,21,16,9,13,242,479,8,17,10,11,16,15,24,16,12,305
"223",34,7,20,14,35,9,13,13,12,12,14,16,441,15,437,11,40,436,44,10
"224",18,40,11,8,14,8,11,17,12,36,70,12,9,14,67,9,10,13,12,56
"225",18,15,99,14,14,9,7,16,23,20,NA,12,51,14,14,16,22,8,63,12
"226",29,15,19,15,28,11,20,24,19,14,8,28,12,19,35,22,22,13,24,30
"227",10,10,9,9,9,72,13,9,41,10,10,10,13,12,69,13,10,14,10,11
"228",16,20,22,15,12,15,14,153,10,23,17,74,154,8,14,12,20,16,14,16
"229",11,9,10,17,14,9,15,15,11,34,15,13,14,15,13,8,7,30,18,12
"230",22,11,15,14,17,20,93,19,18,20,18,16,89,11,15,11,14,72,18,10
"231",11,17,73,10,12,10,11,12,9,263,12,29,26,18,17,20,16,230,14,9
"232",12,16,12,12,13,12,32,8,11,16,13,11,12,11,9,14,16,14,34,10
"233",12,23,32,18,26,33,26,15,23,9,24,8,47,15,16,9,20,48,24,9
"234",21,9,25,12,19,14,11,11,11,22,27,35,13,14,12,25,13,11,9,36
"235",13,8,9,13,19,15,13,8,18,14,40,9,14,20,15,86,90,17,14,47
"236",19,11,48,10,9,67,10,12,10,9,10,66,8,14,14,12,10,9,12,7
"237",9,13,22,20,9,33,16,14,19,11,8,30,13,10,14,10,17,11,11,15
"238",36,14,27,31,20,12,12,19,39,16,16,10,35,31,104,15,21,101,15,11
"239",15,8,14,17,22,27,8,13,15,10,9,15,9,13,9,12,9,11,9,8
"240",19,8,9,8,10,9,7,10,10,10,10,10,7,11,10,11,9,9,21,9
"241",15,10,18,12,12,94,17,15,8,13,12,22,14,96,10,26,9,8,18,14
"242",11,14,91,6,8,45,12,23,51,10,12,8,89,11,17,26,9,8,71,28
"243",10,8,18,9,11,24,14,9,11,13,9,9,11,12,12,12,13,11,10,10
"244",19,15,14,19,126,127,22,13,14,12,13,17,20,23,19,31,19,22,13,44
"245",17,14,16,33,18,10,18,7,9,15,22,18,27,70,49,15,15,65,23,9
"246",15,8,15,12,8,11,12,20,13,8,8,18,18,27,20,24,12,7,10,17
"247",116,14,25,14,15,10,103,15,10,38,11,12,17,10,15,17,14,11,13,11
"248",14,18,25,16,70,10,10,75,18,9,11,16,51,15,29,11,18,16,34,10
"249",21,118,10,17,10,112,17,11,9,10,9,16,17,13,9,10,19,16,10,10
"250",10,17,12,16,11,13,19,12,74,8,18,9,12,13,11,17,84,12,86,13
"251",13,13,15,18,17,8,14,75,11,69,10,15,17,9,15,11,9,14,15,13
"252",11,16,12,11,8,17,35,10,11,13,19,18,12,8,12,14,38,9,11,11
"253",8,11,10,36,10,7,9,12,9,10,10,9,10,6,11,35,6,12,11,9
"254",11,17,90,33,26,61,10,10,134,12,16,18,12,185,27,184,10,11,15,25
"255",15,14,15,17,43,47,33,18,14,11,12,13,16,12,31,16,32,16,13,16
"256",11,10,12,23,11,18,14,13,25,9,12,10,12,14,13,50,8,10,22,10
"257",7,51,19,19,11,27,31,25,49,9,15,21,21,22,9,32,27,14,24,10
"258",12,9,71,11,13,10,12,10,14,13,12,17,12,14,13,10,9,13,75,10
"259",12,17,12,10,17,51,11,17,16,10,11,10,12,10,47,12,9,9,11,10
"260",24,11,19,14,14,43,32,10,18,13,12,11,15,17,13,14,17,17,11,43
"261",6,8,26,10,10,49,42,28,20,11,12,8,13,11,24,12,14,12,14,26
"262",12,17,10,19,21,10,17,12,21,61,9,15,12,18,13,12,11,13,12,56
"263",25,19,10,8,12,9,18,9,12,15,13,26,28,35,16,11,15,12,19,16
"264",14,15,33,13,14,15,14,15,15,17,16,31,14,15,18,13,13,13,14,13
"265",18,35,11,13,12,37,6,8,15,12,26,9,22,23,27,11,18,12,12,10
"266",14,13,12,15,9,28,14,15,28,10,14,10,13,14,12,8,16,14,11,12
"267",54,33,13,13,25,38,12,13,17,17,37,25,17,20,10,30,34,15,12,60
"268",56,15,13,14,20,32,18,15,21,20,11,10,13,16,12,44,59,9,11,8
"269",10,76,24,13,11,14,23,15,9,11,26,10,16,16,26,25,26,100,9,11
"270",11,11,103,10,8,185,12,10,10,8,10,9,8,184,13,11,10,9,7,9
"271",18,90,20,18,10,49,72,21,79,8,13,10,13,10,244,241,28,8,9,10
"272",31,29,16,16,14,19,19,10,20,12,12,11,13,13,13,15,13,11,19,21
"273",9,20,10,42,9,15,12,10,16,15,15,13,12,14,11,13,38,12,12,13
"274",38,9,8,11,7,15,11,11,11,13,38,13,9,12,13,11,12,10,14,14
"275",11,10,8,9,14,9,34,13,11,15,13,11,12,12,10,26,13,10,14,14
"276",9,10,15,13,15,NA,18,13,17,NA,31,9,19,25,21,NA,24,21,22,13
"277",12,12,10,13,124,8,17,10,9,12,22,12,15,13,9,13,8,16,10,118
"278",8,64,15,201,13,196,12,10,14,14,11,10,17,44,15,182,13,11,21,11
"279",14,11,14,12,11,NA,11,11,10,13,NA,18,8,11,14,14,15,16,14,13
"280",20,15,10,18,19,42,22,11,17,19,16,16,42,22,11,12,16,12,11,10
"281",11,14,19,23,10,36,20,13,14,13,10,23,16,10,20,22,34,10,16,10
"282",12,23,22,17,11,12,19,14,11,17,10,10,22,19,11,17,18,44,19,42
"283",17,13,10,20,10,10,16,17,11,20,12,20,9,17,12,22,9,16,30,7
"284",17,11,33,12,11,14,12,10,9,10,9,10,12,13,9,13,9,34,14,9
"285",19,26,10,12,18,24,9,45,24,20,15,17,17,13,14,19,47,26,14,21
"286",14,21,44,15,9,13,46,19,15,15,8,11,9,15,14,13,18,9,15,12
"287",33,9,8,10,11,17,8,19,31,19,22,9,18,22,14,12,14,17,16,16
"288",11,15,15,15,10,34,12,33,10,8,13,11,13,10,16,9,13,14,9,12
"289",8,10,10,16,14,13,21,22,83,14,81,17,18,15,9,45,17,29,20,14
"290",32,11,63,17,108,10,16,11,58,24,12,26,12,115,13,13,10,11,11,9
"291",11,13,10,26,15,8,83,20,18,14,14,216,15,11,10,11,10,9,14,224
"292",9,34,7,11,18,12,17,8,12,38,21,10,32,20,16,10,9,10,14,16
"293",60,12,10,11,83,60,16,8,11,8,21,51,17,16,14,96,8,9,10,9
"294",42,15,12,21,16,18,16,18,12,14,8,15,11,8,16,11,14,13,10,39
"295",13,14,12,19,9,42,16,63,17,9,472,10,16,22,81,13,9,11,17,12
"296",11,12,10,9,19,15,10,13,9,13,9,8,11,13,11,28,13,24,12,13
"297",8,63,13,9,17,19,9,8,6,10,54,8,12,10,64,9,12,9,15,8
"298",41,9,29,11,12,31,9,13,42,13,14,26,10,12,9,17,14,8,10,19
"299",14,11,30,14,16,12,30,15,15,12,15,9,13,12,16,12,19,174,40,151
"300",8,12,9,9,11,14,9,14,8,13,10,8,15,12,45,11,10,43,9,24
"301",19,42,13,20,22,16,13,17,14,10,10,18,12,10,48,22,16,32,23,17
"302",16,14,13,28,10,16,15,103,17,25,26,13,465,232,19,8,17,25,10,11
"303",15,18,8,27,14,14,19,10,9,9,16,11,18,10,28,10,19,18,9,10
"304",8,13,12,14,12,12,18,59,14,11,13,12,16,9,17,9,15,15,52,11
"305",14,14,65,17,17,16,21,25,40,55,12,38,19,11,13,17,16,91,93,19
"306",8,19,18,12,13,51,15,11,16,44,14,18,13,12,13,16,12,13,26,12
"307",16,14,13,19,20,10,12,33,34,13,18,18,17,15,19,8,15,9,17,11
"308",11,18,11,20,8,101,39,16,12,17,102,33,14,12,11,15,21,17,19,15
"309",18,34,74,16,10,74,38,28,21,59,9,21,16,38,16,19,11,28,20,14
"310",14,15,12,13,15,36,49,10,16,8,9,17,16,10,52,14,18,24,13,21
"311",15,161,28,8,10,18,14,12,9,12,11,10,10,10,11,13,13,209,24,11
"312",15,20,25,13,17,17,13,9,14,15,9,10,11,14,16,27,10,15,14,14
"313",17,15,21,33,38,11,15,21,14,13,20,19,12,28,16,39,17,24,16,18
"314",8,18,84,8,17,14,15,10,9,9,9,11,13,10,62,14,87,66,26,13
"315",9,10,14,24,10,11,12,9,9,9,14,14,25,11,12,15,10,13,11,10
"316",14,15,155,149,13,14,58,9,13,114,46,18,13,10,13,13,12,13,14,11
"317",11,12,12,10,6,11,33,10,12,8,12,9,11,11,11,9,9,14,27,11
"318",23,12,21,11,9,12,10,14,94,20,12,22,23,7,16,19,27,87,17,11
"319",19,18,20,18,21,20,35,17,26,11,10,21,14,11,15,20,10,21,10,13
"320",24,53,13,7,9,10,9,9,10,20,9,12,55,8,11,9,14,9,9,9
