"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"33",22,25,12,20,12,16,35,8,16,11,25,17,49,33,10,24,14,16,20,27,16,29,15,11,21,34,18,12,17,33,15,15,17,11,17,47,18,10,17,33,15,26,13,20,12,18,11,12,12,25
"34",13,43,9,12,16,8,9,17,10,8,21,12,10,21,7,14,17,19,11,10,15,9,11,16,11,11,12,7,10,8,29,21,9,13,16,13,41,9,25,8,13,13,19,16,17,11,15,12,12,10
"35",17,18,17,18,9,20,12,18,17,20,11,17,17,8,21,21,10,9,18,22,19,13,28,18,19,22,15,18,15,16,7,12,17,14,9,14,9,10,18,21,13,15,12,10,16,21,34,20,7,16
"36",NA,10,12,23,8,17,12,14,22,12,15,23,24,15,21,12,29,21,22,25,17,15,9,14,10,14,29,13,11,18,24,11,NA,16,25,11,19,19,17,41,11,27,25,24,26,15,138,19,26,8
"37",12,25,48,18,16,25,9,17,10,14,32,19,8,12,15,16,21,48,10,27,11,33,16,32,26,26,10,13,38,12,11,26,10,9,20,13,34,26,8,23,12,16,12,17,9,8,18,11,24,16
"38",10,16,11,16,11,12,17,17,9,16,13,100,10,18,21,11,16,18,11,40,19,17,19,18,14,21,11,14,15,24,91,17,15,11,17,17,10,89,10,16,13,14,11,12,13,17,17,14,14,17
"39",22,9,17,12,41,2,9,8,24,11,16,12,13,11,8,36,11,17,11,24,11,10,17,19,21,17,19,9,12,31,14,18,12,12,23,18,23,11,11,15,19,9,9,13,8,10,8,13,9,8
"40",7,10,21,8,10,28,11,19,16,65,18,10,10,36,14,14,13,12,19,17,28,21,14,16,25,10,17,13,10,15,12,14,65,9,12,14,32,16,19,27,18,22,9,31,9,12,8,19,31,14
"41",17,6,9,171,12,16,10,15,13,8,10,16,17,10,9,33,16,12,16,7,12,12,15,10,58,15,10,18,15,27,13,22,9,12,17,28,164,17,22,16,10,11,9,11,34,9,8,32,16,18
"42",20,19,10,17,28,12,13,21,10,24,14,10,11,14,9,18,20,15,20,21,14,16,36,22,18,24,13,17,32,11,18,11,9,10,7,10,11,22,12,10,15,13,11,9,9,13,23,14,14,10
"43",9,9,27,22,10,9,10,7,9,12,15,12,32,9,15,13,13,9,7,44,10,17,9,11,9,18,14,9,17,17,12,10,9,14,10,17,13,47,23,8,12,9,11,8,27,14,9,14,37,10
"44",10,11,29,12,15,10,9,17,18,15,16,12,15,13,11,10,12,9,17,11,17,13,21,9,118,10,12,8,125,99,8,16,14,8,9,17,14,17,15,22,17,6,14,12,10,11,10,25,11,10
"45",10,20,18,20,17,7,9,9,18,17,21,22,21,18,15,13,22,6,16,22,9,11,11,14,16,17,14,10,14,19,8,7,10,13,9,22,15,12,12,10,48,10,7,47,13,11,21,7,11,9
"46",172,25,15,17,9,25,12,10,14,9,19,7,19,10,17,10,8,15,25,14,14,9,171,12,17,56,12,10,15,21,24,20,16,172,18,14,19,20,9,23,11,14,8,9,12,14,21,11,25,8
"47",11,9,9,9,14,10,12,68,12,12,11,10,10,13,12,11,10,8,12,12,12,70,11,8,8,10,12,14,12,10,8,13,13,13,10,12,10,13,10,8,10,11,11,14,11,13,11,9,13,13
"48",11,8,36,10,17,19,17,11,14,7,14,14,7,18,13,14,17,10,19,33,13,13,10,18,16,14,7,9,12,17,21,12,18,13,10,16,10,12,8,13,9,21,9,9,18,8,18,19,14,15
"49",15,13,10,12,9,11,10,14,7,11,10,13,12,8,9,13,12,10,10,11,8,11,11,12,13,11,15,12,8,10,11,31,9,27,9,9,9,13,14,9,11,10,9,12,10,9,11,9,13,9
"50",14,11,25,18,7,26,14,7,27,14,8,8,25,25,12,8,13,22,20,27,15,8,25,13,13,9,8,25,12,19,13,24,10,20,16,11,11,10,48,13,18,29,44,17,20,24,7,25,8,28
"51",9,26,10,10,10,12,29,50,16,23,19,9,34,12,9,12,11,24,49,15,10,17,20,12,19,19,21,17,17,20,19,37,11,18,9,14,10,10,8,15,37,24,17,16,30,13,18,12,23,29
"52",11,18,17,14,12,22,85,15,10,7,16,10,20,15,18,15,11,9,10,16,9,16,16,11,11,15,17,14,12,8,19,10,18,12,8,8,85,23,10,10,73,20,16,19,15,13,16,9,14,16
"53",10,16,12,23,27,20,10,11,11,10,11,9,20,11,17,13,23,13,10,30,10,14,13,13,12,29,9,20,106,14,115,19,18,6,12,108,10,10,10,22,13,11,13,97,8,8,12,11,12,16
"54",20,18,12,9,23,14,16,13,29,16,15,14,25,9,21,8,10,10,28,10,8,59,12,10,9,85,13,8,11,8,16,32,10,14,11,12,11,87,12,11,19,35,6,17,10,42,11,17,8,15
"55",10,14,15,11,16,17,14,16,13,10,13,18,15,8,11,13,15,17,39,14,16,19,14,19,12,8,18,10,8,14,14,9,17,11,19,37,34,14,21,16,14,16,17,13,30,13,13,15,8,14
"56",10,15,12,119,8,11,15,55,9,14,11,9,13,23,11,9,12,12,11,10,16,11,14,16,9,10,10,16,19,10,13,16,89,15,13,15,16,116,17,15,18,12,8,13,12,11,16,9,16,15
"57",14,11,8,11,34,16,17,9,10,10,16,18,19,31,9,11,7,13,10,13,17,13,9,11,10,15,14,15,11,9,16,17,15,13,13,11,15,17,10,13,9,10,16,15,9,13,14,13,9,12
"58",21,27,8,12,15,30,13,18,16,10,15,87,12,51,12,27,16,13,12,110,15,25,27,8,10,106,29,54,26,20,17,22,7,18,12,10,24,13,18,21,14,17,12,15,16,19,16,43,16,50
"59",14,11,11,13,11,12,9,11,16,16,39,14,11,19,16,12,13,13,13,11,9,38,15,18,21,15,14,9,20,13,9,19,12,10,11,14,20,18,9,12,10,16,13,20,9,10,7,8,16,15
"60",22,7,15,10,15,17,15,8,9,11,43,82,11,14,88,19,14,14,12,17,8,18,21,11,13,22,10,13,15,12,10,12,7,12,18,12,9,14,16,15,15,12,8,10,9,15,14,16,16,21
"61",11,11,15,27,12,18,16,18,19,18,9,10,15,15,14,12,15,16,13,9,8,13,17,10,16,18,16,17,18,9,12,12,8,11,11,8,9,18,17,10,12,16,18,9,16,12,17,26,17,15
