"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"529",24,311,34,17,408,11,25,10,37,26,12,13,15,28,277,12,153,21,29,28,13,20,50,10,15,43,22,37,14,166
"530",13,13,23,36,16,16,10,14,18,14,51,8,8,148,33,9,7,13,12,11,9,12,19,141,7,39,10,8,28,29
"531",19,12,20,15,31,16,20,10,12,10,19,114,12,8,113,96,19,11,57,12,13,32,24,14,39,10,12,9,12,11
"532",10,22,10,130,11,108,11,14,14,44,12,12,19,107,61,73,23,24,23,19,11,15,15,12,10,19,85,20,12,36
"533",21,14,30,11,15,14,12,75,76,30,11,73,14,21,24,16,12,43,8,18,16,9,24,14,25,23,45,13,22,15
"534",20,91,17,34,33,10,15,10,416,44,68,17,457,15,83,19,14,412,48,43,50,22,18,20,27,22,13,426,23,17
"535",40,11,24,16,23,21,111,16,15,15,10,15,23,82,18,18,16,13,11,117,18,18,26,9,13,24,17,113,17,13
"536",362,14,13,22,16,21,14,11,12,11,10,18,9,9,10,24,8,19,15,16,9,365,15,152,354,12,18,11,15,39
"537",16,15,18,324,9,56,22,11,355,335,26,81,23,17,64,38,13,36,51,13,109,70,12,63,46,108,36,10,14,11
"538",10,9,12,13,14,9,21,20,11,15,15,89,56,9,165,11,83,9,10,21,12,9,15,9,14,9,11,13,15,58
"539",9,9,15,15,9,47,8,14,10,58,17,9,15,50,13,10,37,12,18,12,13,14,7,14,9,8,11,13,22,11
"540",11,57,37,17,22,19,13,18,151,12,11,86,15,18,18,11,11,29,22,13,145,25,12,22,20,17,58,28,158,16
"541",453,18,15,13,13,51,16,7,9,67,7,23,11,38,19,11,11,18,11,9,16,13,21,8,15,36,63,13,50,10
"542",22,10,89,12,49,14,14,10,488,15,11,11,23,11,55,15,12,11,16,16,487,40,32,14,19,12,17,21,20,10
"543",9,13,11,10,45,51,14,18,22,20,11,10,10,19,108,15,40,8,359,14,12,15,15,11,29,11,35,14,25,377
"544",9,11,268,14,13,447,10,26,11,16,178,14,402,21,13,8,12,11,29,8,11,11,20,427,13,18,20,20,19,455
"545",9,12,451,12,33,9,473,9,14,12,14,9,8,16,14,10,NA,8,12,13,19,13,17,16,474,12,8,10,25,9
"546",19,17,19,9,12,14,46,16,25,81,26,11,14,16,34,8,17,14,23,43,11,10,23,84,28,75,18,26,16,53
"547",17,157,28,142,22,20,26,32,37,11,14,16,25,21,72,49,32,63,20,24,30,17,18,18,8,12,24,40,37,84
"548",438,11,19,436,9,450,436,412,16,14,19,14,16,16,13,18,26,210,445,99,12,13,27,15,20,26,18,30,10,27
