"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"60",20,15,10,11,17,22,9,17,29,11,12,17,19,13,13,11,15,12,29,17,12,10,14,15,17,10,19,19,12,21,21,16,14,17,17,17,16,16,18,8
"61",19,10,14,14,21,19,16,15,9,23,10,48,11,23,35,16,9,19,12,17,11,11,8,10,11,8,15,10,14,9,15,11,21,12,16,17,25,16,11,12
"62",11,14,62,12,63,8,35,8,14,11,10,10,22,16,11,9,16,9,15,16,19,9,12,14,10,18,20,18,16,16,13,8,10,36,10,11,9,11,15,15
"63",26,20,9,19,39,18,12,14,9,7,15,10,13,9,19,14,10,6,15,22,13,13,17,9,18,10,23,20,37,13,25,11,14,11,14,12,16,7,21,21
"64",59,13,15,14,8,10,9,8,15,16,17,10,12,10,19,14,9,12,25,26,16,10,30,15,12,15,56,15,9,19,9,23,12,35,12,25,18,30,14,34
"65",15,19,19,15,9,10,9,9,13,12,15,10,11,8,16,19,11,17,16,NA,11,11,10,13,NA,14,13,11,10,NA,12,10,10,11,11,14,17,19,12,11
"66",13,11,14,13,10,22,13,26,11,8,10,7,13,11,13,8,47,15,50,10,12,10,14,8,11,10,14,9,32,10,11,10,14,11,10,13,13,11,9,8
"67",18,10,14,11,40,13,15,13,11,14,14,15,11,15,34,10,16,16,13,13,8,12,13,13,11,13,15,9,10,11,11,15,14,12,16,13,11,11,11,16
"68",18,7,15,19,9,13,20,10,8,18,16,18,14,9,9,12,12,11,8,10,9,20,13,15,15,18,15,18,12,30,19,8,16,38,12,21,12,18,12,10
"69",17,8,13,18,14,18,9,20,13,48,9,17,10,18,21,9,12,14,16,23,26,14,19,10,16,7,11,16,19,28,27,13,11,14,11,12,14,47,18,17
"70",17,15,18,23,10,12,9,9,9,15,11,10,8,13,14,91,15,11,12,13,14,14,9,10,8,12,10,16,62,8,9,11,11,14,8,16,12,16,10,12
