"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"29",20,16,35,12,29,72,18,17,24,14,10,23,12,8,16,10,39,13,14,12,131,10,18,24,9,12,21,70,12,14,14,33,28,11,10,14,13,16,127,18,115,47,14,16,8,24,27,23,19,34
"30",14,10,12,21,10,24,11,11,444,9,15,26,8,17,25,24,32,10,14,9,137,11,10,29,20,11,9,65,10,8,9,19,18,12,21,33,8,11,466,17,32,14,58,450,9,15,29,14,22,22
"31",25,10,14,158,13,12,11,10,11,164,16,13,13,11,20,14,156,10,25,15,15,35,10,34,12,16,13,9,11,11,18,16,12,13,14,27,21,46,30,18,10,15,24,18,21,14,14,175,31,12
"32",25,44,15,204,15,16,16,18,13,19,20,13,9,30,11,31,27,11,11,9,32,9,14,10,15,18,10,16,168,14,14,24,10,152,13,10,12,22,15,25,7,13,44,14,9,21,9,42,14,9
"33",30,29,21,21,12,15,39,9,15,12,16,20,158,38,13,170,20,15,18,27,15,35,23,11,37,47,19,13,22,58,16,17,19,13,20,177,17,11,21,44,15,23,14,18,13,23,15,13,15,27
"34",12,37,10,13,29,9,9,18,10,8,38,13,11,29,7,15,17,22,11,11,31,11,10,15,11,13,12,8,12,9,48,21,10,15,15,16,57,9,53,9,13,14,19,16,22,12,17,15,16,10
"35",NA,19,21,18,NA,30,NA,19,18,20,11,18,19,NA,60,51,12,10,31,NA,42,13,234,NA,NA,36,23,26,NA,NA,NA,14,NA,NA,NA,14,10,11,18,233,16,NA,13,NA,NA,23,94,30,NA,NA
"36",338,12,14,26,9,18,14,17,28,13,20,34,21,27,23,13,289,21,20,24,30,15,11,15,10,17,35,16,11,19,214,14,26,16,22,12,18,17,24,207,12,46,34,27,384,16,26,19,27,9
"37",12,37,30,20,49,341,10,27,11,17,NA,23,8,13,20,18,44,26,11,45,12,24,25,81,29,83,11,13,39,14,13,28,10,10,21,15,NA,NA,9,28,13,17,14,26,9,9,17,11,29,22
"38",11,23,13,27,12,13,17,22,11,23,15,236,11,36,25,11,20,22,12,293,30,26,27,20,16,27,16,14,15,77,82,28,22,14,53,21,11,304,12,38,15,18,12,14,14,24,21,15,15,30
"39",116,11,16,12,69,16,11,8,196,11,20,14,18,10,8,41,12,18,10,26,13,10,29,50,42,17,114,9,17,48,15,19,13,13,21,19,73,14,10,14,118,10,10,13,9,9,8,18,11,11
"40",NA,NA,NA,NA,10,NA,NA,NA,20,NA,NA,NA,NA,41,NA,NA,NA,14,NA,NA,NA,NA,15,NA,NA,NA,NA,15,NA,NA,NA,21,NA,NA,16,NA,NA,NA,NA,NA,NA,40,NA,25,NA,NA,NA,NA,NA,NA
"41",22,33,9,31,15,20,10,16,16,9,13,22,36,11,11,336,336,13,37,7,14,13,18,11,177,22,14,28,18,29,19,43,10,12,115,71,75,22,47,27,12,13,11,13,133,9,9,98,17,25
"42",39,24,11,21,NA,12,13,66,11,46,16,11,12,15,9,27,35,16,23,29,17,18,52,NA,28,26,14,20,NA,12,20,16,10,11,7,11,12,33,13,16,18,14,12,10,10,13,NA,15,16,11
"43",9,9,30,26,10,10,12,7,10,13,15,14,21,9,18,14,16,10,8,75,10,17,12,12,9,18,26,10,18,16,14,10,9,16,10,28,15,76,141,8,16,10,12,8,34,15,10,17,126,11
"44",11,11,96,12,18,11,10,29,92,17,23,13,19,16,11,11,13,10,33,13,23,21,88,10,29,11,16,11,93,108,9,31,18,9,10,22,18,21,16,108,31,7,19,14,13,12,12,106,11,10
"45",12,30,34,30,17,11,9,12,17,33,NA,NA,NA,20,18,12,NA,7,21,NA,9,11,12,17,28,16,15,11,15,25,8,8,11,14,9,NA,18,12,14,11,31,10,8,67,14,13,40,7,18,9
