"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"37",60,10,16,13,34,7,11,11,19,26,55,14,14,12,25,9,7,59,9,51,24,18,25,12,17,11,15,14,14,12,55,9,33,17,11,12,13,15,32,8
"38",16,16,17,14,13,13,69,11,9,12,10,16,20,10,13,14,17,85,98,8,11,22,73,13,21,52,89,12,12,26,20,33,9,11,10,11,23,9,33,19
"39",10,22,11,16,66,15,17,31,11,8,14,25,35,12,17,23,31,9,9,15,16,14,17,12,15,14,8,17,33,22,19,23,11,18,15,10,55,10,13,16
"40",53,13,19,13,12,127,18,11,24,11,17,18,60,17,10,14,54,15,8,10,12,18,13,18,12,21,47,121,21,12,11,13,11,24,11,99,10,13,10,122
"41",19,11,75,8,14,12,25,12,12,11,10,40,55,11,257,81,21,48,11,249,16,13,9,11,36,10,33,231,16,13,17,14,20,16,127,25,18,18,19,11
"42",372,22,20,28,98,14,49,10,19,354,17,90,13,14,14,17,11,19,19,20,11,11,31,23,24,13,41,408,13,26,68,55,38,37,28,11,400,43,18,18
"43",35,19,10,42,15,29,18,13,84,16,14,11,56,12,62,10,102,11,26,9,32,29,18,11,11,16,14,17,10,10,140,24,24,NA,12,38,11,10,NA,10
"44",NA,4,NA,10,9,NA,13,27,15,NA,35,17,47,19,12,19,22,10,14,11,9,86,12,8,40,11,10,9,35,13,22,124,42,10,11,10,16,18,9,17
"45",47,12,12,18,12,13,10,12,29,251,18,134,31,10,11,234,13,82,17,221,222,16,44,31,12,17,20,14,10,202,9,31,9,14,9,58,43,20,22,10
"46",10,21,11,13,13,44,26,45,7,17,18,26,17,12,38,10,21,15,8,12,10,11,10,22,15,18,22,11,17,19,15,41,11,12,18,9,13,14,27,25
"47",28,11,16,234,14,14,15,26,12,10,17,223,20,63,19,21,8,39,9,210,81,19,20,17,18,17,10,11,13,217,17,15,9,20,22,21,22,27,14,26
"48",19,9,17,46,20,18,10,NA,53,15,11,20,14,8,11,22,11,10,111,10,12,37,12,22,97,15,12,10,18,15,28,95,25,27,168,32,11,17,13,26
"49",14,12,12,14,29,25,15,10,31,13,15,14,59,19,16,28,17,50,61,11,12,19,10,10,12,17,15,11,14,22,35,17,15,17,23,11,13,12,11,14
"50",18,17,8,17,28,33,16,25,15,9,21,27,NA,40,10,47,15,17,13,NA,18,26,25,8,NA,19,27,14,18,13,11,24,NA,17,12,7,20,13,14,22
"51",41,14,65,16,12,10,15,16,9,20,11,10,70,16,13,99,9,11,11,100,14,9,15,7,33,16,11,16,11,20,NA,15,21,9,13,NA,12,25,10,10
"52",21,12,11,10,13,49,46,25,27,18,77,9,8,16,28,28,17,7,12,38,12,27,74,13,40,18,11,150,16,22,40,10,8,7,26,77,27,15,18,163
"53",14,NA,14,8,9,9,8,13,17,44,15,67,12,9,8,13,12,18,16,42,20,18,10,12,38,29,NA,15,NA,NA,13,12,22,19,10,27,20,16,18,16
"54",19,11,13,7,19,26,10,12,9,18,13,138,377,343,365,10,12,379,102,10,71,372,19,8,15,18,21,8,29,11,9,39,9,14,11,16,10,54,10,12
"55",9,15,17,14,13,18,14,23,NA,15,25,14,15,150,10,NA,28,17,23,13,137,49,24,27,11,34,9,14,14,24,11,30,23,28,15,19,22,NA,15,18
"56",7,52,26,21,282,9,14,12,10,10,13,34,18,19,16,261,11,11,17,17,16,15,24,12,239,56,15,18,11,12,10,11,11,29,13,9,13,313,13,68
"57",11,8,120,7,10,15,9,116,17,42,9,26,10,20,10,10,24,15,23,9,26,14,30,28,26,10,10,23,25,13,29,8,11,120,14,10,12,12,125,25
"58",7,13,11,13,36,65,14,9,10,15,53,33,55,8,13,11,12,10,12,9,15,9,12,58,18,15,13,14,12,19,9,21,13,11,9,11,13,8,16,20
"59",10,14,34,12,12,13,40,75,13,41,11,21,19,38,NA,NA,18,25,14,12,30,25,25,16,13,13,50,12,17,22,9,9,48,12,12,32,9,48,22,12
"60",124,15,10,12,22,106,9,16,114,13,11,16,31,13,13,11,15,12,115,19,16,12,18,15,18,10,20,61,12,110,48,17,15,28,16,19,18,16,20,9
"61",177,12,17,16,72,49,20,48,9,33,11,80,13,44,71,134,9,177,20,24,12,13,9,11,14,9,34,12,17,10,135,12,47,14,22,157,79,35,13,15
"62",15,19,75,14,77,9,57,8,20,12,11,11,48,26,13,11,16,9,21,26,22,10,17,22,11,67,32,23,23,19,14,9,10,57,15,15,11,11,24,20
"63",24,26,11,28,31,16,14,14,9,8,13,11,12,9,17,14,11,7,14,22,25,15,17,9,18,10,21,26,37,16,26,11,14,11,13,19,14,8,22,33
"64",144,14,21,17,8,10,10,8,17,31,26,11,14,13,34,16,10,15,27,19,22,12,146,17,13,21,122,18,10,16,9,31,16,59,14,31,27,29,17,151
"65",20,26,43,20,10,9,10,10,19,14,18,11,12,8,20,39,13,60,22,223,12,12,12,17,209,15,16,13,11,165,14,11,10,12,11,15,167,77,13,12
"66",87,12,22,14,13,26,14,259,13,8,10,9,18,15,16,9,62,234,234,11,18,11,15,9,12,12,16,9,210,12,12,11,15,13,13,32,13,15,9,8
"67",49,11,15,15,63,33,31,17,11,16,19,50,12,21,218,11,33,20,16,18,9,16,14,17,12,16,22,9,11,12,12,17,15,13,41,16,13,11,13,248
"68",76,8,18,145,9,13,28,10,8,26,18,19,15,10,13,15,13,11,11,10,9,148,14,15,14,19,16,28,12,145,94,11,17,144,18,123,11,21,12,13
"69",26,9,15,218,15,31,10,37,13,35,9,21,12,25,165,10,15,14,21,31,229,14,26,11,31,8,11,29,25,33,36,14,12,18,10,14,14,45,21,19
"70",24,17,303,287,12,13,9,11,10,17,11,12,10,26,100,46,23,21,99,18,34,20,9,10,8,14,10,22,231,8,13,10,12,279,9,82,12,290,12,13
"71",10,10,7,16,10,25,14,10,26,17,17,11,22,64,34,9,16,15,16,12,20,19,61,8,56,24,21,10,9,31,18,24,41,10,37,13,14,18,10,57
"72",6,12,21,15,14,9,41,60,17,53,86,21,11,20,9,12,9,10,10,12,12,28,11,10,21,51,11,11,88,11,23,11,95,18,37,8,8,35,13,17
"73",18,18,8,41,9,9,13,25,11,12,16,13,25,11,12,15,77,12,40,14,16,17,33,88,28,10,10,19,9,13,16,90,9,12,14,23,44,79,30,18
"74",NA,NA,24,8,18,17,NA,7,NA,NA,95,NA,173,9,7,47,27,32,14,9,7,15,13,9,NA,13,8,72,14,NA,15,91,11,10,17,19,10,NA,7,179
"75",16,7,47,20,10,12,37,28,15,40,25,14,11,14,NA,16,13,13,11,12,46,8,54,58,10,9,10,138,13,13,11,NA,10,15,12,21,20,11,20,17
"76",37,8,43,24,17,57,66,46,132,41,12,104,21,16,46,81,42,15,24,103,119,10,22,62,17,21,17,9,42,19,20,50,9,10,19,33,13,10,23,18
"77",12,19,9,15,11,10,9,40,43,13,13,15,13,16,10,13,13,19,10,31,13,17,20,11,15,45,46,13,12,7,11,17,13,14,11,35,36,9,27,10
"78",22,22,97,12,90,29,27,47,19,27,10,102,8,12,13,66,60,85,51,29,117,15,17,67,8,9,21,7,18,22,18,112,72,97,22,8,8,36,10,13
